Processed,Name,Components,Recommendations,Problem or Purpose,My Comments,Theoretical/Conceptual,Sample,Methods,Key Findings,github,Cover,Related References,URL,Zotero URI,DOI,Edited
Yes,"3D Gaussian Splatting: Survey, Technologies, Challenges, and Opportunities (2025)","2D features, 3D features, 3D-fusion, explain, pose","• Adopt 4DGS for flying object dynamics
• Use optical-flow regularization for motion cues
• Leverage adaptive control to reduce floaters
• Integrate StopThePop for view-consistent blending
• Explore self-calib via SLAM/3DGS-Calib ideas
• Prototype track-before-detect via multi-view differencing","• Survey 3D Gaussian Splatting literature and techniques
• Bridge tasks with shared technical modules
• Identify efficiency, realism, generalization challenges
• Provide taxonomy of 3DGS components and improvements
• Highlight opportunities across dynamic and semantic 3DGS","• Survey aligns with object-centric 4D splatting
• No LiDAR assumption; some works require it
• Multi-camera overlap broadly supported techniques
• Calibration drift addressed by SLAM, calibration modules
• Occupancy prediction remains underexplored
• Tracking/classification require additional heads","• 3D Gaussian density with covariance reparameterization
• Sigma=R S S^T R^T via quaternion rotation
• EWA splatting and alpha blending for rendering
• Nine modules: init, attributes, splatting, regularization, training
• Losses: SDS, rigidity, depth-normal, multi-view consistency
• Adaptive control: clone, split, prune strategies","• Survey; no single dataset evaluated
• Covers static, dynamic, relightable scenes
• Multi-view camera settings broadly discussed
• Annotations vary; semantics, depth, flow referenced
• 3D motion covered in dynamic 4DGS
• Availability: awesome3DGS GitHub list","• Summarizes 3DGS pipeline: initialize, splat, optimize
• Pose handled via SfM, SLAM, calibration works
• 2D features: ORB, CLIP, DINO, ControlNet
• 3D fusion: explicit Gaussians, mesh/SDF hybrids
• Training: SDS, optical-flow, rigidity, depth-normal
• Adaptive control and compression strategies reviewed","• 3DGS enables ≥30 FPS 1080p rendering
• DISTWAR achieves 2.44× gradient acceleration
• Hardware clustering yields 10.7× render speedup
• StopThePop: 1.6× faster, 2× memory saved
• Generalizable 3DGS limited synthesis range
• Dynamic 4DGS improves temporal consistency",https://github.com/qqqqqqy0227/awesome3DGS,,,https://ieeexplore.ieee.org/document/10870258/,https://zotero.org/alehanderoo/items/Z7XG34SF,https://doi.org/10.1109/TCSVT.2025.3538684,12/11/2025 15:07 (GMT+1)
Yes,Survey on Monocular Metric Depth Estimation (2025),"2D features, 3D features, explain","• Use ZoeDepth/DepthPro as per-camera depth priors.
• Ensure RGB-only inference; no LiDAR dependencies.
• Calibrate scale across cameras using shared targets.
• Enforce temporal smoothing for flying object stability.
• Avoid diffusion depth for real-time tracking.
• Evaluate intrinsics-robust models for drift tolerance.","• Review MMDE progress and trends.
• Highlight gap in recent surveys.
• Emphasize absolute-scale, zero-shot depth.
• Analyze datasets and benchmarks.
• Discuss efficiency, blurriness, generalization.","• Monocular, not multi-view; no epipolar fusion.
• Helpful for occupancy priors; not mandatory.
• No tracking/classification; integrate externally.
• Temporal consistency and flicker remain concerns.
• No Gaussian Splatting or 4D dynamics discussed.
• Lacks calibration drift self-correction methods.","• Monocular metric depth from single RGB.
• Scale-invariant and scale-shift-invariant losses.
• Adaptive binning: AdaBins, LocalBins, BinsFormer.
• CRF regularization: NeW CRFs.
• Log-depth parameterization, FOV conditioning.
• Intrinsics-free via pseudo-spherical, geometric invariance.","• Domains: indoor and outdoor scenes.
• Datasets: KITTI, NYU, nuScenes, TartanAir.
• Cameras: predominantly monocular RGB.
• Annotations: metric and relative depth maps.
• 3D motion present in driving datasets.
• Availability: mostly open benchmarks.","• Categorizes single-pass, patch-based, diffusion models.
• Intrinsics handling: canonical mapping, embeddings, spherical outputs.
• Backbones: CNNs, ViTs; multi-scale fusion.
• Depth heads: regression, adaptive bins, CRF refinement.
• Training: multi-dataset, semi/unsupervised, synthetic supervision.
• No multi-view fusion; monocular inference only.","• ZoeDepth strong zero-shot metric generalization.
• DepthPro balances detail and speed effectively.
• Patch-based improves sharpness; adds latency.
• Diffusion sharper structure; high compute cost.
• UniDepth handles unknown intrinsics robustly.
• Datasets lacking standardization hinder fair comparison.",,,,http://arxiv.org/abs/2501.11841,https://zotero.org/alehanderoo/items/2IXWVQ84,https://doi.org/10.48550/arXiv.2501.11841,12/11/2025 15:04 (GMT+1)
Yes,Vision-Based Multi-Future Trajectory Prediction: A Survey (2025),"2D features, explain, track","• Adapt PEC to 3D goal-conditioned flight endpoints.
• Use grid-sampling recurrent decoder for 3D occupancy rollout.
• Leverage diffusion for diverse 3D future hypotheses.
• Apply LDS/BOSampler for K diverse 3D tracks.
• Evaluate with 3D minADE/minFDE, KDE-NLL.
• Risk: methods assume 2D, single-view, no calibration drift.","• Survey of vision-based multi-future trajectory prediction.
• Taxonomies: frameworks, datasets, evaluation metrics.
• Compares models on standard MTP benchmarks.
• Analyzes uncertainty: accuracy, diversity, social acceptance, explainability.
• Identifies metric and dataset limitations.","• Limited multi-view, calibration, or 3D focus.
• Frameworks transferable to 3D flying trajectories.
• Anchors could be 3D goal spheres or waylines.
• Grid sampling aligns with occupancy prediction needs.
• Language-guided explainability promising for classifying intentions.
• Verify compatibility with RGB-only, rolling-shutter, drift.","• Seq2seq with social, temporal, scene encoders.
• MTP frameworks: noise, anchor, recurrent.
• Generative models: GAN, CVAE, NF, DDPM.
• Losses: variety loss, adversarial, KL, occupancy.
• Metrics: lower-bound, probability-aware, distribution-aware.
• Sampling: beam search, LDS, BOSampler.","• Domains: pedestrians, vehicles; road-user motion.
• #sequences/frames: N/A.
• #cameras/layout/overlap: N/A.
• Annotations: 2D trajectories; occasional HD maps/LiDAR.
• 3D-motion present? Rare; mostly 2D planar.
• Availability: public benchmarks; standard licenses.","• Feature extraction: LSTM/GRU/Transformer/CNN/GNN.
• Scene interaction from images, segmentation, HD maps.
• Pose strategy: N/A; calibration not addressed.
• 2D backbones; no optical flow emphasis.
• 3D fusion method: N/A.
• Training: variety loss, adversarial, KL, diffusion sampling.","• STGlow tops pedestrian minADE/minFDE among MTP.
• YNet outperforms PECNet via scene-constrained endpoints.
• Diverse sampling significantly boosts lower-bound metrics.
• ForkingPath precision and PTU ~50% maxima.
• Heatmap PEC memory-heavy; acceleration via LED.
• Runtime/FPS/memory numbers: N/A.",,,,https://ieeexplore.ieee.org/document/10937765/,https://zotero.org/alehanderoo/items/Q7LI4WQ5,https://doi.org/10.1109/TNNLS.2025.3550350,12/11/2025 15:01 (GMT+1)
Yes,A comprehensive overview of deep learning techniques for 3D point cloud classification and semantic segmentation (2024),"2D features, 3D features, classify, explain","• Borrow multi-view projection for RGB-only multi-cam fusion.
• Adopt transformer attention for temporal multi-view aggregation.
• Use contrastive pretraining with Isaac Sim synthetic data.
• Repurpose classification heads for flying-object categories.
• Avoid LiDAR-specific operators; keep 2D feature space.
• Evaluate range-point-voxel fusion analogs for occupancy.","• Survey deep learning for 3D point clouds.
• Focus classification and semantic segmentation tasks.
• Bridge gaps in overlooked mesh and hybrid methods.
• Provide taxonomy, datasets, metrics, comparisons.
• Discuss challenges and future research directions.","• Survey emphasizes point clouds; inference requires LiDAR depth.
• Projection-based MVCNN aligns with multi-camera RGB.
• No occupancy prediction, 3D MOT, or tracking.
• No calibration drift or self-calibration discussion.
• 4D Gaussian or dynamic NeRF absent.
• Limited runtime/FPS; edge feasibility unclear.","• Taxonomy across mesh, projection, volumetric, point, hybrid.
• Supervised vs unsupervised learning paradigms.
• Metrics: OA, mAcc, F1, mIoU, IoU equations.
• Assumptions: permutation invariance, local-global aggregation.
• Attention, graph Laplacian, kernel convolutions described.","• Domains: indoor/outdoor LiDAR, RGB-D, UAV photogrammetry.
• Datasets: ModelNet, ScanObjectNN, S3DIS, SemanticKITTI.
• #sequences/frames: varies; some sequential LiDAR.
• #cameras/layout/overlap: N/A; sensor-specific.
• Annotations: per-point semantics, object classes.
• Availability: public benchmarks; licenses vary.","• Categorizes mesh, projection, volumetric, point, hybrid pipelines.
• No calibration or pose estimation covered.
• 2D backbones: MVCNN, Res2Net, harmonized pooling.
• 3D fusion: point-voxel hybrids, range-point-voxel fusion.
• Heads: classification, semantic segmentation; no tracking heads.
• Training: supervised, self/self-supervised; contrastive, generative.","• PointView-GCN OA 95.4% on ModelNet40.
• PTv2 tops ModelNet40 OA and mAcc.
• RangeFormer strong mIoU on SemanticKITTI.
• FG-Net leads Semantic3D mean accuracy.
• RepSurf-U best OA on ScanObjectNN mesh-based.
• Runtime details sparse; some real-time claims.",,,,http://arxiv.org/abs/2405.11903,https://zotero.org/alehanderoo/items/K95NMI3N,https://doi.org/10.1007/s00138-024-01543-1,12/11/2025 14:57 (GMT+1)
Yes,Evaluating Alternatives to SFM Point Cloud Initialization for Gaussian Splatting (2024),"3D features, 3D-fusion, pose","• Replace COLMAP with NerfAcc 5k point init
• Add NeRF depth distillation to GS training
• Use existing RGB-only poses; avoid LiDAR
• Benchmark under pose drift and overlap changes
• Adapt for object-centric 3D splats of flyers
• Quick-win: try large-box random init","• Remove SfM dependence for 3DGS initialization
• Leverage NeRF to bootstrap Gaussian Splatting
• Improve random initialization quality and stability
• Provide faster pipeline than COLMAP
• Evaluate with SLAM-estimated cameras","• Relevant to GS without SfM; static-centric focus
• No classify/track; add MOT/classifier modules
• Assumes accurate poses; self-calib not addressed
• Could bootstrap central-volume occupancy splats
• Depth guidance may mitigate pose drift sensitivity
• Test on fast, low-texture flying targets needed","• 3DGS alpha compositing color equation
• NeRF termination probability S(t;r) for surfaceness
• Inverse-CDF sampling for NeRF-to-GS points
• Differentiable GS depth rendering formulation
• L1 depth distillation loss with scheduled weight","• Mip-NeRF 360 indoor/outdoor multi-view scenes
• OMMO large-scale drone video scenes
• Replica, TUM sequences with SLAM poses
• #frames/#cameras: N/A
• Annotations: RGB only; photometric supervision
• Availability: listed project pages; mixed licenses","• Pretrain NerfAcc INGP 5k–30k iterations
• Sample 3D points via NeRF inverse-CDF
• Initialize GS with 500k points, SH colors
• Optional depth distillation into GS training
• Random init: large 50×50×50 box baseline
• Poses from COLMAP or ORB-SLAM3 monocular","• NeRF init often ≥ COLMAP PSNR on benchmarks
• Random large-box beats prior random baseline
• Best results: NeRF init + depth supervision
• SLAM poses faster than COLMAP, lower PSNR
• A6000: 5k NeRF ≈30s pretrain
• ORB-SLAM3 40ms/f, NerfAcc depth ≈300ms/f",https://theialab.github.io/nerf-3dgs,,,http://arxiv.org/abs/2404.12547,https://zotero.org/alehanderoo/items/9RLL9IID,https://doi.org/10.48550/arXiv.2404.12547,12/11/2025 14:55 (GMT+1)
Yes,An Image is Worth 16x16 Words: Transformers for Image Recognition at Scale (2021),"2D features, classify, explain","• Use ViT as 2D backbone per camera.
• Pretrain on sim RGB with masked patches.
• Smaller patches for small flying objects.
• Share weights across views; fuse downstream.
• Use attention maps for explainability.
• Risk: large-scale pretraining required for robustness.","• Pure transformer for image classification.
• Replace CNNs with patch-based Transformer.
• Scale pretraining to 14M–300M images.
• Claim: less compute than SOTA CNNs.
• Gap: limited transformers in vision at scale.","• Strong 2D features; no 3D, multi-view support.
• Attention maps useful for interpretability.
• Consider hybrid CNN+ViT for small datasets.
• No temporal modeling; add optical flow later.
• Patch size impacts small object sensitivity.
• Open: performance on aerial, sparse backgrounds.","• Image patch tokenization, 16x16 default patch size.
• Learnable class token for classification.
• Learned 1D positional embeddings with interpolation.
• Transformer encoder: MSA, MLP, GELU, LayerNorm.
• Supervised cross-entropy; label smoothing, weight decay.
• Preliminary masked patch prediction self-supervision.","• Natural images; single-image classification.
• ImageNet: 1.3M; ImageNet-21k: 14M; JFT: 303M.
• Single camera; no multi-view overlap.
• Annotations: class labels only.
• 3D motion: N/A; static images.
• I21k public; JFT private; VTAB benchmarks.","• Split images into patches; linear embed patches.
• Add positional embeddings; prepend class token.
• Stack Transformer blocks: MSA, MLP, LayerNorm.
• Classification head; no detection or tracking heads.
• Calibration: N/A; single-view RGB only.
• Training: Adam, label smoothing, high-res fine-tuning.","• 88.55% ImageNet top-1; 90.72% ReaL.
• 94.55% CIFAR-100; 77.63 VTAB.
• Outperforms BiT with less pretrain compute.
• Hybrids help at small compute budgets.
• ViT memory-efficient; large per-core batch sizes.
• Inference speed comparable to ResNets on TPUv3.",https://github.com/google-research/vision_transformer,,,http://arxiv.org/abs/2010.11929,https://zotero.org/alehanderoo/items/P8IP2F85,https://doi.org/10.48550/arXiv.2010.11929,12/11/2025 14:48 (GMT+1)
Yes,CrossViT: Cross-Attention Multi-Scale Vision Transformer for Image Classification (2021),"2D features, classify, explain","• Use CrossViT-S/18 as per-camera 2D backbone.
• Adopt CLS-agent cross-attention for multi-scale fusion.
• Prototype cross-view CLS-to-patch fusion module.
• Add temporal adapters for motion classification cues.
• Profile FPS/memory under 5-camera pipeline.
• Risk: single-image design; no 3D/MOT support.","• Improve ViT with multi-scale token fusion.
• Address missing multi-scale representations in transformers.
• Reduce fusion attention complexity to linear time.
• Increase ImageNet accuracy with modest compute.","• Limited direct fit to 3D flying-object pipeline.
• Agent-token concept promising for cross-view fusion.
• Offers attention maps for basic explainability.
• No calibration drift handling or epipolar cues.
• No track-before-detect, occupancy, or MOT.
• Good 2D backbone; integrate cautiously.","• CLS token as cross-branch agent.
• Cross-attention: CLS queries other-branch patches.
• Linear-time fusion vs quadratic all-attention.
• Standard ViT MSA+FFN per branch encoders.
• Positional embeddings added to all tokens.","• ImageNet1K: 1.28M train, 50k val.
• Single-view RGB images, no multi-camera.
• Annotations: class labels only.
• No 3D motion; static images.
• Code and models publicly available.","• Dual-branch ViT with small/large patch tokens.
• Cross-attention fusion between branches via CLS.
• Compared fusions: all, CLS, pairwise, cross-attention.
• Classification head using fused CLS tokens.
• Training: 300 epochs, AdamW, strong augmentation.
• Compute: 32 GPUs, batch 4096, cosine schedule.","• Top-1 up to +2% over DeiT.
• Cross-attention best among fusion schemes.
• Throughput: 640 img/s (CrossViT-15 @224).
• FLOPs 5.6–9.5G; params 26.7–44.3M.
• Transfer competitive on five downstream datasets.
• Linear fusion lowers compute vs all-attention.",https://github.com/IBM/CrossViT,,,http://arxiv.org/abs/2103.14899,https://zotero.org/alehanderoo/items/V66RCSDS,https://doi.org/10.48550/arXiv.2103.14899,12/11/2025 14:46 (GMT+1)
Yes,Point Transformer V3,3D features,"• Use PTv3 as 3D feature backbone
• Apply on 3DGS/4DGS reconstructed point clouds
• Integrate with multi-view RGB via MVS/NeRF-to-points
• Add classifier/tracker heads for flying objects
• Downsample dense 3DGS points to PTv3-friendly sparsity
• Benchmark receptive fields for small airborne targets","• Bridge accuracy-efficiency trade-off in point transformers
• Enable scaling receptive fields efficiently
• Replace costly KNN and RPE operations
• Achieve SOTA across 3D tasks","• Strong 3D backbone; no multi-camera RGB support
• No self-calibration or pose estimation
• No explicit dynamic/static separation
• Promising after 3D volumetric reconstruction
• Serialization design may aid 4D dynamics
• Lacks explainability tools (Grad-CAM/TREx)","• Scaling principle: simplicity enables performance via scale
• Serialization via space-filling curves (Z-order, Hilbert)
• Patch attention with windowed dot-product
• Enhanced conditional positional encoding (xCPE)
• Pre-norm transformer blocks with LayerNorm","• Indoor datasets: ScanNet, ScanNet200, S3DIS
• Outdoor datasets: nuScenes, SemanticKITTI, Waymo
• %sequences/frames: N/A
• %cameras/layout/overlap: LiDAR only, N/A overlap
• Annotations: semantics, instances, 3D boxes
• 3D motion present: Waymo multi-frame detection","• Serialize points with Z-order/Hilbert and variants
• Group patches; pad; apply patch attention
• Patch interaction: Shift Dilation/Patch/Order, Shuffle Order
• xCPE sparse conv before attention
• U-Net backbone, grid pooling, pre-norm blocks
• Heads: CenterPoint detection; PPT joint pretraining","• ScanNet test: +3.7 mIoU over PTv2
• S3DIS 6-fold: +4.2 mIoU vs PTv2
• nuScenes val: +2.0 mIoU vs SphereFormer
• SemanticKITTI val: +3.0 mIoU vs SphereFormer
• Waymo single-frame: +3.3 mAPH over FlatFormer
• 3.3x faster, 10.2x less memory than PTv2",https://github.com/Pointcept/PointTransformerV3,,,https://ieeexplore.ieee.org/document/10658198/,https://zotero.org/alehanderoo/items/IJS7J85C,https://doi.org/10.1109/CVPR52733.2024.00463,15/10/2025 18:06 (GMT+2)
Yes,Mamba4D: Efficient 4D Point Cloud Video Understanding with Disentangled Spatial-Temporal State Space Models,"3D features, 3D-fusion, classify","• Reuse Mamba temporal backbone for 4DGS feature volumes.
• Replace transformers with Mamba for efficiency.
• Inject 4D positional encoding into 3DGS tokens.
• Evaluate cross-temporal scanning on multi-view fused volumes.
• Risk: relies on point clouds, not RGB inputs.
• Quick-win: benchmark speed/memory gains in 3D tracker.","• Efficient 4D point cloud video backbone.
• Handle irregular spatial distribution, temporal inconsistencies.
• Reduce transformer quadratic complexity on long sequences.
• Disentangle spatial-temporal modeling for better dynamics.","• Strong 4D fusion ideas; input modality mismatch.
• No multi-camera overlap handling or self-calibration.
• No tracking heads or probabilistic 3D trajectories.
• Useful SSM blocks for long-range dynamics.
• Could adapt to 3D occupancy grids.
• Lacks explainability methods; no Grad-CAM/TREx.","• State Space Models (SSMs) with linear complexity.
• Mamba blocks for data-dependent sequence modeling.
• Disentangled intra-frame spatial and inter-frame temporal modules.
• 4D positional encoding: x,y,z,t via MLP.
• Temporal pooling for short-term dynamics aggregation.
• Spatio-temporal scanning strategies ensure causality.","• MSR-Action3D; action recognition; video-level labels.
• HOI4D; action segmentation; frame labels.
• HOI4D: 2971 train, 892 test scenes.
• 150 frames/sequence; 2048 points/frame.
• Synthia4D; semantic segmentation; per-point labels.
• #cameras/overlap: N/A; 3D motion present.","• Anchor frame selection with temporal stride.
• FPS sampling of spatial anchor points.
• KNN point tubes across short clips.
• Intra-frame Spatial Mamba with temporal max-pooling.
• Inter-frame Temporal Mamba with scanning strategies.
• 4D positional encoding fused into tokens.","• +10.4% accuracy on MSR-Action3D.
• +0.7 F1 on HOI4D action segmentation.
• +0.19 mIoU on Synthia4D segmentation.
• 87.5% GPU memory reduction.
• 5.36× faster runtime on long sequences.
• Cross-temporal scanning best, 92.68% accuracy.",https://github.com/IRMVLab/Mamba4D,,,,https://zotero.org/alehanderoo/items/EQYTSDBM,,15/10/2025 18:04 (GMT+2)
Yes,Rethinking Point Cloud Data Augmentation: Topologically Consistent Deformation,"3D features, classify","• Use SinPoint on multi-view reconstructed 3D points
• Augment 4DGS Gaussians with topology-preserving offsets
• Apply SSF for flying object classifier pretraining
• Combine Markov affine augmentations; constrain |Aω|≤1
• Risk: deformations may harm rigid motion dynamics
• Quick test: augment pseudo-LiDAR of drones/birds","• Improve point cloud DA diversity with topology preserved
• Address distortion in existing mix/deform augmentations
• Theorize why augmentation improves performance via variance
• Introduce homeomorphic sine mapping for consistency
• Expand distribution via Markov chain augmentations","• No multi-camera, pose, or tracking support
• Strong for 3D feature augmentation pretraining
• May help sparse, noisy MVS point clouds
• Needs temporal-consistent extension for tracking
• Parameter tuning crucial to avoid folding
• Effect on occupancy fields or splats unclear","• Theorem: augmentation increases dataset variance
• Homeomorphism ensures topological consistency post-deformation
• Sine mapping homeomorphism when -1≤Aω≤1
• Residual deformation: P' = P + g(P)
• Jacobian analysis for orientation preservation and folding risk","• Domains: synthetic objects, real scanned objects, scenes
• Datasets: ModelNet40, ReducedMN40, ScanObjectNN
• Part segmentation: ShapeNetPart; scenes: S3DIS, SemanticKITTI
• Cameras/layout/overlap: N/A
• Annotations: class labels, part labels, semantic labels
• 3D motion present: none; public datasets","• SinPoint SSF/MSF sine-based homeomorphic deformations
• Markov chain combining affine augmentations
• Applied to point cloud backbones: PointNet++, DGCNN
• Pose strategy: N/A; calibration-free not addressed
• 2D backbones/optical flow: N/A
• Training: SGD, baseline losses; minimal runtime overhead","• SOTA on ScanObjectNN: 90.2 OA
• +5.9% average OA on real datasets
• Improved robustness under noise, rotation, scaling, dropout
• Fast training: 10x faster than PointAugment
• Consistent gains across many backbones
• Scenes: +7.6% mIoU on SemanticKITTI",https://github.com/CSBJian/SinPoint,,,,https://zotero.org/alehanderoo/items/ZAG9LXJY,,15/10/2025 18:01 (GMT+2)
Yes,DG-MVP,"2D features, 3D-fusion, classify","• Adapt Depth Pooling to multi-camera feature fusion.
• Use MMP for robust per-object descriptors.
• Apply occlusion/density augmentations to training data.
• Risk: assumes clean per-object segmentations.
• Risk: no temporal or tracking capabilities.
• Quick win: max-pool per-camera logits across views.","• 3D DG for point cloud classification.
• Address synthetic-to-real domain shift.
• Point-based backbones discard useful points.
• Robustness to occlusion, missing points needed.","• Not focused on flying, dynamic targets.
• Single-object classification, no tracking.
• Multi-view fusion concept transferable to cameras.
• No pose or self-calibration methods.
• Add explainability, e.g., Grad-CAM on ResNet18.
• Consider temporal fusion and 4DGS integration.","• Multi-view depth projections alleviate missing points.
• Depth Pooling: max across six views.
• Multi-scale Max Pooling captures local/global features.
• Dual-branch CE losses with weights.
• Augmentations simulate holes and non-uniform density.","• PointDA-10: ModelNet, ShapeNet, ScanNet.
• Sim-to-Real: ModelNet/ShapeNet → ScanObjectNN.
• Six orthogonal projections per object.
• Class labels only; single-object samples.
• No motion; static shapes.
• Public datasets; standard academic licenses.","• Project point clouds to six depth images.
• ResNet18 extracts per-view 2D features.
• Depth Pooling fuses multi-view features.
• MMP strips aggregate multi-scale features.
• Dual branches: avg-pool head, MMP head.
• Adam, lr 0.001, bs 32, 160–200 epochs.","• 55.29% avg on PointDA-10; beats SUG.
• Outperforms several UDA without target access.
• 70.92% M→SO; 66.74% M→SOB.
• Depth Pooling outperforms average and view pooling.
• MMP boosts S→S* OA by 3.73%.
• ResNet18 best among tested backbones.",,,,http://arxiv.org/abs/2504.12456,https://zotero.org/alehanderoo/items/NKQTZ4SY,https://doi.org/10.48550/arXiv.2504.12456,15/10/2025 17:59 (GMT+2)
Yes,Point Cloud Upsampling Using Conditional Diffusion Module with Adaptive Noise Suppression,"3D features, 3D-fusion","• Use ANS to denoise 3DGS or voxel features.
• Adapt conditional diffusion to refine occupancy volumes.
• Integrate TT for multi-scale 3D feature aggregation.
• Replace CD/EMD with diffusion-based training.
• Beware static-shape training; lacks temporal dynamics.
• Quick test: ANS on fused multi-view point clouds.","• Robust point cloud upsampling under noise.
• Address CD/EMD sensitivity to outliers.
• Improve feature dominance and structure preservation.
• Leverage diffusion denoising for upsampling.","• No multi-camera RGB; limited thesis alignment.
• Valuable for 3D denoising and feature fusion.
• No pose, classification, or tracking addressed.
• Targets static shapes, not flying objects.
• Could post-process 3DGS geometry refinement.
• Requires adding 2D semantics and temporal cues.","• Conditional DDPM guides densification from noise.
• Reverse process predicts noise; MSE training.
• No CD/EMD; inherent point correspondences.
• ANS weights neighborhoods via attention mechanisms.
• TT combines cyclic, ancestral, local-global attention.","• PUGAN, PU1K synthetic shape patches.
• 24k PUGAN, 69k PU1K training patches.
• Inputs 256 points; ground truth 1,024.
• Tests: 27 PUGAN, 127 PU1K shapes.
• Cameras and overlap: N/A.
• 3D motion: none; static objects.","• Two-branch CP-Net and DP-Net architecture.
• ANS removes noisy neighbors via learned weights.
• TT decoder uses cyclic and ancestral operations.
• Local and global attention for feature fusion.
• Cross-attention between CP-Net and DP-Net.
• Losses: diffusion noise MSE; CP-Net reconstruction MSE.","• SOTA CD/HD on PUGAN 4× and 16×.
• PU1K 4×: CD 0.155, HD 1.588.
• Strong robustness to Gaussian noise across levels.
• Best under random and Laplace noise.
• Ablations confirm ANS and TT effectiveness.
• Runtime and memory: N/A.",https://github.com/Baty2023/PDANS,,,,https://zotero.org/alehanderoo/items/LQMWZ8Y2,,15/10/2025 17:56 (GMT+2)
Yes,PointNeXt,"3D features, classify","• Reuse training strategies in 3D feature backbones.
• Adopt ∆p normalization in point encoders.
• Integrate InvResMLP for 3D point modules.
• Beware point-cloud requirement; pipeline starts from images.
• Quick-win: test color drop, label smoothing, AdamW.
• Evaluate on per-object 3DGS point samples.","• Revisit PointNet++ training and scaling strategies.
• Claim training dominates recent gains over architecture.
• Propose PointNeXt with InvResMLP scaling.
• Boost classification and segmentation performance significantly.
• Offer faster inference than recent SOTA.","• Strong for 3D features; no multi-view support.
• No pose self-calibration; not camera-based.
• No temporal modeling; unsuitable for tracking.
• Helpful backbone after 3D reconstruction stage.
• Radius normalization insight transferable to 4DGS.
• Need validation on flying, sparse objects.","• Set Abstraction with hierarchical feature learning.
• Relative position normalization by neighborhood radius.
• Inverted residual bottleneck MLP design.
• Separable MLPs to reduce computation.
• Cross-entropy with label smoothing loss.
• AdamW optimizer with cosine decay.","• Benchmarks: S3DIS, ScanNet, ScanObjectNN, ModelNet40, ShapeNetPart.
• #scans/objects: S3DIS 271 rooms; ScanNet 1201/312/100.
• #cameras/layout/overlap: N/A.
• Annotations: per-point semantics, object labels, parts.
• 3D motion present?: No, static scenes.
• Availability/license: Public benchmarks; license N/A.","• Improved augmentations: resampling, color drop, auto-contrast, height.
• Optimization: label smoothing, AdamW, cosine scheduler.
• Receptive field tuning: radius search, ∆p normalization.
• Architecture: InvResMLP, residuals, separable MLPs, stem.
• Tasks: classification, segmentation, part segmentation.
• Pose, optical flow, multi-view fusion: N/A.","• ScanObjectNN OA: 77.9→86.1 without architecture changes.
• PointNeXt-S OA: 87.7, 10× faster than PointMLP.
• S3DIS 6-fold mIoU: up to 74.9.
• Color drop adds +5.9 mIoU on S3DIS.
• Residual removal drops mIoU by 6.5.
• Throughput higher than Point Transformer, similar FLOPs.",https://github.com/guochengqian/pointnext,,,http://arxiv.org/abs/2206.04670,https://zotero.org/alehanderoo/items/FB4IQPSJ,https://doi.org/10.48550/arXiv.2206.04670,15/10/2025 17:49 (GMT+2)
Yes,Complete-to-Partial 4D Distillation for Self-Supervised Point Cloud Sequence Representation Learning,"3D features, classify","• Borrow complete-to-partial distillation for 4DGS features
• Use frame-level contrastive temporal supervision
• Simulate partial views via occlusion-aware renderings
• Distill from complete multiview reconstructions to partial RGB
• Beware point-cloud to RGB domain gap
• Test on flying-object 3D tracking benchmarks","• Self-supervised 4D point cloud representation learning
• Leverage unlabeled dynamic sequences efficiently
• Unify geometry and motion representations
• Overcome static-only 3D pretraining limitations
• Improve downstream 4D segmentation and recognition","• Not multi-camera; single-sensor point clouds
• No flying-object focus
• Strong temporal feature learning design
• Asymmetric distillation seems broadly applicable
• Lacks pose self-calibration components
• No 3D tracking heads included","• Teacher-student knowledge distillation across time
• Complete-to-partial 4D distillation paradigm
• Frame-level contrastive losses: L_geo, L_time
• Asymmetric teacher weaker than student
• Temporal windowed prediction heads","• HOI4D indoor scenes; actions, semantics
• 2971 train, 892 test sequences
• Sequences: 150–300 frames per sequence
• Single viewpoint point clouds; no multi-camera overlap
• Annotations: action labels, semantic masks
• 3D motion present; public datasets","• Generate partial-view sequences via camera trajectory sampling
• Occlusion-based visible point sampling per frame
• Student: 4D Conv + transformer
• Teacher: 4D Conv only, asymmetric
• Frame-level contrastive distillation, window size three
• Predict adjacent frames via dynamic heads","• +2.5% HOI4D action segmentation accuracy
• +1.0% HOI4D semantic segmentation mIoU
• +1.0% Synthia 4D semantic mIoU
• +2.1% MSR-Action3D accuracy
• Asymmetric teacher superior to symmetric
• Natural trajectories outperform random sampling",https://github.com/dongyh20/C2P,,,https://ieeexplore.ieee.org/document/10204798/,https://zotero.org/alehanderoo/items/PZ4LQFRJ,https://doi.org/10.1109/CVPR52729.2023.01694,15/10/2025 17:47 (GMT+2)
